leg,arrival_phase,transfer_days,plane_angle_deg,parking_inclination_deg,burn1_m_s,burn2_m_s,total_m_s,arrival_miss_km
lander,0.08,0.50,-90,90.0,652.2,48.3,700.5,0.0000
lander,0.04,0.30,-90,90.0,607.4,194.6,802.0,0.0000
lander,0.08,0.75,-90,90.0,616.1,279.6,895.7,0.0000
lander,0.08,0.50,90,90.0,652.2,326.1,978.4,0.0000
lander,0.08,0.75,90,90.0,615.8,425.0,1040.7,0.0000
lander,0.08,1.00,-90,90.0,660.6,425.5,1086.0,0.0000
lander,0.04,0.50,-90,90.0,571.9,548.4,1120.2,0.0000
lander,0.04,0.30,90,90.0,607.4,549.1,1156.5,0.0000
lander,0.08,1.00,90,90.0,633.2,531.8,1165.0,0.0000
lander,-0.04,0.50,90,90.0,572.1,621.0,1193.1,0.0000
lander,0.04,0.50,90,90.0,571.5,748.4,1319.9,0.0000
lander,0.08,0.30,-90,90.0,807.8,530.2,1338.1,0.0000
lander,-0.04,0.50,-90,90.0,575.9,803.1,1379.0,0.0000
lander,0.08,0.30,90,90.0,807.8,626.3,1434.1,0.0000
lander,-0.04,0.30,90,90.0,607.4,983.0,1590.4,0.0000
lander,-0.04,0.30,-90,90.0,607.4,1109.0,1716.4,0.0000
crew,0.30,4.00,-25,26.4,3144.0,921.2,4065.2,0.0000
crew,0.50,4.00,-25,26.8,3173.7,910.4,4084.1,0.0000
crew,0.70,4.00,-25,26.4,3261.0,951.9,4212.9,0.0000
crew,0.50,4.00,-50,50.7,3383.8,981.6,4365.4,0.0000
crew,0.30,4.00,-50,50.6,3485.3,981.7,4467.0,0.0000
crew,0.70,4.00,-50,50.6,3498.4,1044.2,4542.6,0.0000
