min_elevation_deg,observer,spacecraft,duty_cycle,n_windows,total_hours,longest_hours,pass_fraction_elevation_cutoff,pass_fraction_station_darkness,pass_fraction_target_illumination,pass_fraction_limiting_magnitude,pass_fraction_lunar_exclusion
0.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.2202876984126984,13,74.01666666666667,7.533333333333333,0.5018104260701354,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
5.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.20992063492063492,13,70.53333333333333,7.533333333333333,0.46654431823818265,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
10.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.19806547619047618,13,66.55,7.516666666666667,0.43103020683497845,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
15.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.1845734126984127,13,62.016666666666666,7.5,0.3952680918605228,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
20.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.16929563492063493,13,56.88333333333333,7.316666666666666,0.35891076831506374,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
25.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.15109126984126983,13,50.766666666666666,6.383333333333334,0.3213134269133476,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
30.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.1286706349206349,13,43.233333333333334,5.516666666666667,0.28178165765587027,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
35.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.09930555555555555,13,33.36666666666667,4.616666666666666,0.23719061554486384,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
40.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.0623015873015873,10,20.933333333333334,3.2666666666666666,0.1850602648678141,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
45.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.028720238095238094,8,9.65,2.05,0.1361539606170329,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
50.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.01423611111111111,4,4.783333333333333,1.5166666666666666,0.10520311492485492,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
55.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.008382936507936508,4,2.816666666666667,1.0,0.08709885422350082,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
60.0,Sydney 0.5 m telescope,Gateway-like NRHO,0.0021825396825396826,2,0.7333333333333333,0.4666666666666667,0.06552254352462676,0.31689896334507217,1.0,0.9387431179008978,0.9402807400426566
