orbit,day,a_km,e,i_deg,raan_deg,argp_deg,periapsis_km,apoapsis_km
Elliptical lunar frozen orbit (12 h relay),0.0,6142.0,0.6000000000000001,57.00000000000001,6.17114521899059e-16,90.00000000000001,2456.7999999999993,9827.2
Elliptical lunar frozen orbit (12 h relay),0.006944444444444444,6142.027937996119,0.5999947428703047,56.999999993695475,359.90837362598694,89.9964587188639,2456.8434646359096,9827.21241135633
Elliptical lunar frozen orbit (12 h relay),0.013888888888888888,6142.0897550975815,0.5999846882727412,56.99999991910574,359.816748908278,89.99288226436111,2456.929948042162,9827.249562153002
Elliptical lunar frozen orbit (12 h relay),0.020833333333333336,6142.185021703164,0.5999699236101907,56.999999625016734,359.7251271485325,89.98923858986069,2457.058743432259,9827.31129997407
Elliptical lunar frozen orbit (12 h relay),0.027777777777777776,6142.313132335289,0.5999505756170379,56.99999887250704,359.63350959880296,89.98549679924108,2457.228832970641,9827.397431699936
Elliptical lunar frozen orbit (12 h relay),0.034722222222222224,6142.473302585545,0.5999268097825302,56.99999733798952,359.5418974423787,89.9816276044666,2457.4388899910364,9827.507715180054
Elliptical lunar frozen orbit (12 h relay),0.04166666666666667,6142.66456577371,0.5998988293337528,56.99999461833698,359.4502917752364,89.97760377846745,2457.687283776136,9827.641847771283
Elliptical lunar frozen orbit (12 h relay),0.04861111111111111,6142.885767571069,0.5998668741170896,56.999990236843516,359.35869358747397,89.97340061287156,2457.972084119853,9827.799451022285
Elliptical lunar frozen orbit (12 h relay),0.05555555555555555,6143.135557878511,0.5998312194379355,56.99998364992706,359.26710374531456,89.96899639755692,2458.291065023702,9827.980050733318
Elliptical lunar frozen orbit (12 h relay),0.0625,6143.41238163358,0.5997921745194925,56.99997425562737,359.1755229734166,89.96437290190359,2458.6417102836003,9828.183052983557
Elliptical lunar frozen orbit (12 h relay),0.06944444444444445,6143.714466997696,0.5997500807618141,56.99996140321132,359.0839518376109,89.95951587509943,2459.021219238302,9828.40771475709
Elliptical lunar frozen orbit (12 h relay),0.0763888888888889,6144.039810919645,0.5997053097105858,56.999944404099104,358.99239072809416,89.95441556801394,2459.42651323791,9828.653108601378
Elliptical lunar frozen orbit (12 h relay),0.08333333333333334,6144.386161909128,0.5996582606617806,56.99992254439029,358.9008398432549,89.94906727652382,2459.8542432243858,9828.918080593869
Elliptical lunar frozen orbit (12 h relay),0.09027777777777778,6144.750999919028,0.5996093577840782,56.999895099181195,358.80929917415585,89.94347190318878,2460.3007991145073,9829.20120072355
Elliptical lunar frozen orbit (12 h relay),0.09722222222222222,6145.131511823377,0.5995590467870712,56.99986134838378,358.7177684897721,89.93763655881166,2460.7623202133595,9829.500703433396
Elliptical lunar frozen orbit (12 h relay),0.10416666666666667,6145.5245634683015,0.5995077908660165,56.999820595008394,358.62624732343664,89.93157517682687,2461.2347087105795,9829.814418226022
Elliptical lunar frozen orbit (12 h relay),0.1111111111111111,6145.926666266725,0.5994560658912815,56.99977218543651,358.53473496039925,89.92530916609869,2461.713645650155,9830.139686883296
Elliptical lunar frozen orbit (12 h relay),0.11805555555555555,6146.333938484497,0.5994043546071643,56.999715532468805,358.4432304272291,89.9188680829153,2462.1946108870866,9830.473266081908
Elliptical lunar frozen orbit (12 h relay),0.125,6146.742060015447,0.5993531396096512,56.99965014125716,358.3517324832731,89.91229032248503,2462.672907974494,9830.8112120564
Elliptical lunar frozen orbit (12 h relay),0.13194444444444445,6147.146219817073,0.599302894845235,56.99957563863421,358.26023961509406,89.9056238168637,2463.1436952437575,9831.148744390388
Elliptical lunar frozen orbit (12 h relay),0.1388888888888889,6147.541055422012,0.5992540752168852,56.999491806302274,358.1687500346031,89.89892671208193,2463.6020253972592,9831.480085446765
Elliptical lunar frozen orbit (12 h relay),0.14583333333333334,6147.920583694553,0.5992071039187625,56.99939861843299,358.0772616824567,89.89226799228439,2464.042895616392,9831.798271772714
Elliptical lunar frozen orbit (12 h relay),0.1527777777777778,6148.278122561606,0.5991623569085898,56.99929628420227,357.9857722382054,89.88572799125907,2464.4613117180747,9832.094933405138
Elliptical lunar frozen orbit (12 h relay),0.1597222222222222,6148.606206594909,0.5991201438914118,56.99918529607107,357.8942791401561,89.87939866968108,2464.8523713681393,9832.360041821677
Elliptical lunar frozen orbit (12 h relay),0.16666666666666669,6148.89649871518,0.5990806851571637,56.99906648408218,357.80277961827386,89.8733835244334,2465.211371304405,9832.581626125957
Elliptical lunar frozen orbit (12 h relay),0.1736111111111111,6149.139709372617,0.5990440835798195,56.99894107659517,357.7112707454875,89.86779684350998,2465.53394736722,9832.745471378015
Elliptical lunar frozen orbit (12 h relay),0.18055555555555555,6149.325546189963,0.5990102915146762,56.99881076706579,357.61974951519767,89.86276186407603,2465.8162581480674,9832.834834231857
Elliptical lunar frozen orbit (12 h relay),0.18749999999999997,6149.442736622593,0.5989790733329301,56.9986777847748,357.5282129558984,89.85840716476599,2466.055224726474,9832.83024851871
Elliptical lunar frozen orbit (12 h relay),0.19444444444444445,6149.479219492723,0.5989499669948679,56.99854496455034,357.4366582995505,89.85486011795314,2466.2488439419303,9832.709595043516
Elliptical lunar frozen orbit (12 h relay),0.2013888888888889,6149.422690859676,0.5989222543963137,56.99841580349448,357.3450832275302,89.85223563675314,2466.396589614153,9832.448792105199
Elliptical lunar frozen orbit (12 h relay),0.20833333333333334,6149.2618886337195,0.5988949645312999,56.998294479189425,357.2534862279738,89.85061748304126,2466.499907946754,9832.023869320685
Elliptical lunar frozen orbit (12 h relay),0.2152777777777778,6148.989375073494,0.5988669646986954,56.998185775183316,357.1618671077201,89.85002866977031,2466.5627720587026,9831.415978088284
Elliptical lunar frozen orbit (12 h relay),0.2222222222222222,6148.607251871681,0.5988372566783415,56.99809480330361,357.07022769838505,89.85038859846252,2466.5921527682867,9830.622350975074
Elliptical lunar frozen orbit (12 h relay),0.22916666666666666,6148.138041001759,0.5988056872603937,56.99802631102061,356.9785727336796,89.85146399947433,2466.5980159879296,9829.67806601559
Elliptical lunar frozen orbit (12 h relay),0.2361111111111111,6147.641996862399,0.5987742797322634,56.99798323510882,356.8869106277006,89.85285385107393,2466.5920881393026,9828.691905585494
Elliptical lunar frozen orbit (12 h relay),0.24305555555555555,6147.2320028240165,0.5987487102627319,56.997964243019204,356.79525323907063,89.85411150532553,2466.5847694473464,9827.879236200686
Elliptical lunar frozen orbit (12 h relay),0.25,6147.050502536499,0.5987373366734691,56.99796103486197,356.7036129175012,89.85507250227167,2466.581856250486,9827.519148822512
Elliptical lunar frozen orbit (12 h relay),0.2569444444444444,6147.178013271772,0.598745138204082,56.99795836749962,356.61199645091364,89.85604734389953,2466.5850641502707,9827.770962393275
Elliptical lunar frozen orbit (12 h relay),0.2638888888888889,6147.5607669625915,0.5987686655686931,56.997939103873335,356.5204005044213,89.85738879675881,2466.594010025949,9828.527523899234
Elliptical lunar frozen orbit (12 h relay),0.2708333333333333,6148.0656551682805,0.5987999781541484,56.99789045429002,356.42881356861716,89.8589999652841,2466.604075163244,9829.527235173318
Elliptical lunar frozen orbit (12 h relay),0.2777777777777778,6148.57398615365,0.5988329504802582,56.99780618763688,356.33722155657665,89.8604540172105,2466.6052847790975,9830.542687528203
Elliptical lunar frozen orbit (12 h relay),0.28472222222222215,6149.014671482354,0.5988649415734524,56.99768532471114,356.24561181431795,89.86132106074457,2466.585359510773,9831.443983453937
