location,gap_nights,burn_m_s,detection_probability,n_trials,filter,acceleration_sigma
perilune,1,0.0,0.0,8,ekf,1e-08
perilune,1,0.01,0.0,8,ekf,1e-08
perilune,1,0.03,0.0,8,ekf,1e-08
perilune,1,0.1,0.125,8,ekf,1e-08
perilune,1,0.3,0.125,8,ekf,1e-08
perilune,1,1.0,1.0,8,ekf,1e-08
perilune,1,3.0,1.0,8,ekf,1e-08
perilune,2,0.0,0.0,8,ekf,1e-08
perilune,2,0.01,0.125,8,ekf,1e-08
perilune,2,0.03,1.0,8,ekf,1e-08
perilune,2,0.1,1.0,8,ekf,1e-08
perilune,2,0.3,1.0,8,ekf,1e-08
perilune,2,1.0,1.0,8,ekf,1e-08
perilune,2,3.0,1.0,8,ekf,1e-08
perilune,4,0.0,0.0,8,ekf,1e-08
perilune,4,0.01,0.0,8,ekf,1e-08
perilune,4,0.03,0.125,8,ekf,1e-08
perilune,4,0.1,1.0,8,ekf,1e-08
perilune,4,0.3,1.0,8,ekf,1e-08
perilune,4,1.0,1.0,8,ekf,1e-08
perilune,4,3.0,1.0,8,ekf,1e-08
apolune,1,0.0,0.0,8,ekf,1e-08
apolune,1,0.01,0.0,8,ekf,1e-08
apolune,1,0.03,0.0,8,ekf,1e-08
apolune,1,0.1,0.0,8,ekf,1e-08
apolune,1,0.3,0.125,8,ekf,1e-08
apolune,1,1.0,1.0,8,ekf,1e-08
apolune,1,3.0,1.0,8,ekf,1e-08
apolune,2,0.0,0.0,8,ekf,1e-08
apolune,2,0.01,0.0,8,ekf,1e-08
apolune,2,0.03,0.0,8,ekf,1e-08
apolune,2,0.1,0.0,8,ekf,1e-08
apolune,2,0.3,0.25,8,ekf,1e-08
apolune,2,1.0,1.0,8,ekf,1e-08
apolune,2,3.0,1.0,8,ekf,1e-08
apolune,4,0.0,0.0,8,ekf,1e-08
apolune,4,0.01,0.0,8,ekf,1e-08
apolune,4,0.03,0.0,8,ekf,1e-08
apolune,4,0.1,0.0,8,ekf,1e-08
apolune,4,0.3,0.375,8,ekf,1e-08
apolune,4,1.0,1.0,8,ekf,1e-08
apolune,4,3.0,1.0,8,ekf,1e-08
