phase,burn_m_s,lowest_perigee_altitude_km
0.0000,-200.0,371802.1
0.0000,-198.0,371758.1
0.0000,-196.0,371710.6
0.0000,-194.0,371672.0
0.0000,-192.0,371617.1
0.0000,-190.0,371584.1
0.0000,-188.0,371521.9
0.0000,-186.0,371481.2
0.0000,-184.0,371425.4
0.0000,-182.0,371375.9
0.0000,-180.0,371328.2
0.0000,-178.0,371268.5
0.0000,-176.0,371231.0
0.0000,-174.0,371159.7
0.0000,-172.0,371116.3
0.0000,-170.0,371050.3
0.0000,-168.0,370994.4
0.0000,-166.0,370941.1
0.0000,-164.0,370871.1
0.0000,-162.0,370833.7
0.0000,-160.0,370747.3
0.0000,-158.0,370694.8
0.0000,-156.0,370624.5
0.0000,-154.0,370554.3
0.0000,-152.0,370504.8
0.0000,-150.0,370414.0
0.0000,-148.0,370363.5
0.0000,-146.0,370276.1
0.0000,-144.0,370202.9
0.0000,-142.0,370143.6
0.0000,-140.0,370044.0
0.0000,-138.0,369992.5
0.0000,-136.0,369890.3
0.0000,-134.0,369809.2
0.0000,-132.0,369746.4
0.0000,-130.0,369630.7
0.0000,-128.0,369572.2
0.0000,-126.0,369462.4
0.0000,-124.0,369364.6
0.0000,-122.0,369311.9
0.0000,-120.0,369167.9
0.0000,-118.0,369092.0
0.0000,-116.0,368991.3
0.0000,-114.0,368862.0
0.0000,-112.0,368812.6
0.0000,-110.0,368655.0
0.0000,-108.0,368543.4
0.0000,-106.0,368486.7
0.0000,-104.0,368301.4
0.0000,-102.0,368210.6
0.0000,-100.0,368106.5
0.0000,-98.0,367928.3
0.0000,-96.0,367861.6
0.0000,-94.0,367704.8
0.0000,-92.0,367533.6
0.0000,-90.0,367493.9
0.0000,-88.0,367280.8
0.0000,-86.0,367114.9
0.0000,-84.0,367104.7
0.0000,-82.0,366835.0
0.0000,-80.0,366670.6
0.0000,-78.0,366690.6
0.0000,-76.0,366370.8
0.0000,-74.0,366200.5
0.0000,-72.0,366249.1
0.0000,-70.0,365897.6
0.0000,-68.0,365708.5
0.0000,-66.0,365779.1
0.0000,-64.0,365436.2
0.0000,-62.0,365206.7
0.0000,-60.0,365284.6
0.0000,-58.0,365028.8
0.0000,-56.0,364723.5
0.0000,-54.0,364780.4
0.0000,-52.0,364756.4
0.0000,-50.0,364319.6
0.0000,-48.0,364304.0
0.0000,-46.0,364769.6
0.0000,-44.0,364115.8
0.0000,-42.0,363939.2
0.0000,-40.0,364375.7
0.0000,-38.0,364347.3
0.0000,-36.0,363865.7
0.0000,-34.0,364077.1
0.0000,-32.0,365150.9
0.0000,-30.0,364456.7
0.0000,-28.0,364194.6
0.0000,-26.0,364912.5
0.0000,-24.0,366411.7
0.0000,-22.0,365383.5
0.0000,-20.0,365384.9
0.0000,-18.0,366779.7
0.0000,-16.0,367238.1
0.0000,-14.0,367845.1
0.0000,-12.0,368315.7
0.0000,-10.0,370777.0
0.0000,-8.0,371775.1
0.0000,-6.0,371383.7
0.0000,-4.0,364479.8
0.0000,-2.0,358262.2
0.0000,2.0,355827.7
0.0000,4.0,374749.0
0.0000,6.0,373460.3
0.0000,8.0,373483.7
0.0000,10.0,377862.5
0.0000,12.0,377862.5
0.0000,14.0,377862.5
0.0000,16.0,377862.5
0.0000,18.0,377862.5
0.0000,20.0,377862.5
0.0000,22.0,377862.5
0.0000,24.0,377862.5
0.0000,26.0,377862.5
0.0000,28.0,377862.5
