family_index,perilune_km,period_days,stability_index,n_measurements,n_windows,crlb_position_km,crlb_velocity_m_s
0,50032.0868120305,14.783550470045068,547.1511024166878,356,17,2.247445810488464,0.015726905548723375
4,47453.38807503123,14.628909984099238,398.9124969731089,429,20,1.1804138975106322,0.008916923964802287
8,40608.601507956424,14.078977454139482,148.94076210548937,437,20,1.02506999330508,0.008698098479454072
12,32435.626268552274,13.114341960930313,39.46316533729084,453,20,0.8757877771204722,0.009445654053948548
16,22506.91738785766,11.424779959407562,5.905798859621092,476,19,0.8908633376757981,0.01530965134657963
20,15779.239750639184,9.978146727581322,0.6352514920059525,478,20,1.0029614832938285,0.027085756354189725
24,11594.68156852603,8.969571344141261,1.3688365634040944,470,19,1.2199067415805456,0.051414936902238466
28,8847.563305000007,8.257136967515269,1.6631741903318795,493,20,1.4880609700855785,0.09320305682476346
32,6980.779750449952,7.742094689214613,1.684835100455857,474,19,1.7146040199887738,0.15179431819632822
36,5656.773806663101,7.3545400441315305,1.6194256736986112,485,20,1.9059733017100104,0.2294152474967456
40,4682.445165544031,7.05187331211155,1.5287576175450825,502,21,2.1004384119507904,0.3334487800026047
44,3943.467182939933,6.807940547932173,1.4344094873164421,488,21,2.310734417423676,0.4726334789288873
48,3368.9369101604593,6.606105331943036,1.34395531767737,460,19,2.531649194687643,0.6542102337802919
52,2912.963668763944,6.4353816228641705,1.2597668893925116,488,21,2.720549706511634,0.8714116049507536
56,2544.735553477826,6.28826428260591,1.182226376489048,490,21,2.9472974881782026,1.1535351358472237
60,2242.9095743501534,6.15947166629567,1.1109737598613794,493,20,3.0510974722522106,1.4404403735685742
64,1992.3028099967958,6.045189603498303,1.0454090600762216,494,20,3.067185297396459,1.7270289338058105
68,1781.8638601312673,5.94260077607328,0.9848953691072211,491,20,2.996202579493028,1.9921035101560018
