filter,start,acceleration_sigma,mean_nees,mean_nis,nees_lower,nees_upper,nis_lower,nis_upper,final_error_km_rms,final_sigma_km_mean
ekf,cold,,873.3336626020173,,,,,,4.575491688976279,
ukf,cold,,71.42385909244119,,,,,,1.6635471112735916,
ekf,warm,1e-09,5.668660933458276,1.9918582189009768,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0646552827665132,1.1698854178254177
ekf,warm,1e-08,5.668374779818042,1.9918580113597588,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0646548466128525,1.169890434322595
ekf,warm,1e-07,5.642151556658548,1.9918374022554894,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0646138560260734,1.1703888841709087
ekf,warm,1e-06,5.269440720322016,1.9906130654645795,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0702402522221481,1.2018952498769615
ekf,warm,1e-05,3.806875154081478,1.9842440335078841,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.2615455486142972,1.6756581988454216
ukf,warm,1e-09,5.669322159238188,1.9918538866591178,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0649735075401077,1.1698995016159122
ukf,warm,1e-08,5.670379090330222,1.991852079449547,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0650748042341074,1.1699050123086996
ukf,warm,1e-07,5.64213054353167,1.9918375729657554,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0652246049313006,1.1704019191842632
ukf,warm,1e-06,5.2704503930560564,1.9906095167678195,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.0707688606364623,1.201908564152583
ukf,warm,1e-05,3.8070982595032454,1.9842376706739817,4.202326236219204,8.112754561513846,1.0334291847870365,3.2803397522169924,1.2620878361985308,1.6756617410711059
