arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.0,0.0,10.0,nonlinear,0.0,73,0.0,10.0,90.14140255481756,3245.236168691912,2219.1229831966316,0.5056620855427668,0.0007839842899061268,0.5058390547532178,False,1268439.627385522
12 h,12.0,0.0,0.0,10.0,linear,0.0,73,0.0,10.0,90.14140255481756,3245.236168691912,2219.1229831966316,18.98189364455448,0.0006411866569667191,189.81893636250138,True,3.615822444149321e-15
12 h,12.0,0.041666666666666664,0.2733686812521887,10.0,nonlinear,0.0,73,0.0,9.392815842578237,10.000000000000068,19126.440806165698,32.65884818084631,41.06891712027859,0.0005184586730275432,41.18535887235037,False,187784.15811119883
12 h,12.0,0.041666666666666664,0.2733686812521887,10.0,linear,0.0,73,0.0,9.392815842578237,10.000000000000068,19126.440806165698,32.65884818084631,543.8708280511177,0.0003868154532791068,5438.708270988313,True,3.647271616752899e-11
12 h,12.0,0.08333333333333333,0.5467373625043774,10.0,nonlinear,0.0,73,0.0,9.27603257090357,9.999999999999266,30648.521816989098,9.619012007406804,246.70101059912426,0.0004957894006102692,257.9789434170763,False,27752.40867895618
12 h,12.0,0.08333333333333333,0.5467373625043774,10.0,linear,0.0,73,0.0,9.27603257090357,9.999999999999266,30648.521816989098,9.619012007406804,839.3770981152292,0.0003928655903715072,8393.770857033092,True,3.021672709783058e-10
12 h,12.0,0.125,0.8201060437565663,10.0,nonlinear,0.0,73,0.0,9.521842413288937,9.999999999999833,39614.14589207334,4.082912310886739,607.91509028806,0.00045582267385532716,810.5086357046723,True,5689.294404621866
12 h,12.0,0.125,0.8201060437565663,10.0,linear,0.0,73,0.0,9.521842413288937,9.999999999999833,39614.14589207334,4.082912310886739,914.542526878216,0.0003958430362141565,9145.425097569241,True,4.0035799524103243e-10
12 h,12.0,0.16666666666666666,1.0934747250087549,10.0,nonlinear,0.0,73,0.0,9.652820216057227,9.99999999999363,46941.00160236527,2.2761426730697654,836.8715290437043,0.00041862089142010556,1813.9212088344618,True,1825.8938231961183
12 h,12.0,0.16666666666666666,1.0934747250087549,10.0,linear,0.0,73,0.0,9.652820216057227,9.99999999999363,46941.00160236527,2.2761426730697654,938.5320329623887,0.0003970464937006981,9385.320160324605,True,3.721678097582282e-10
12 h,12.0,0.20833333333333334,1.3668434062609438,10.0,nonlinear,0.0,73,0.0,9.725990089993182,9.999999999994822,53021.71908736682,1.491489082220353,912.8724315120951,0.00040470328374489105,3179.1779122202524,True,790.9114068714161
12 h,12.0,0.20833333333333334,1.3668434062609438,10.0,linear,0.0,73,0.0,9.725990089993182,9.999999999994822,53021.71908736682,1.491489082220353,948.2285545535849,0.00039749052519570704,9482.285367424949,True,3.856213371570463e-10
12 h,12.0,0.25,1.6402120875131325,10.0,nonlinear,0.0,73,0.0,9.769603751201435,10.000000000000465,58065.5820052536,1.0890291552696778,938.0915075739912,0.00040040462145084183,4673.611708797068,True,422.6650487918073
12 h,12.0,0.25,1.6402120875131325,10.0,linear,0.0,73,0.0,9.769603751201435,10.000000000000465,58065.5820052536,1.0890291552696778,952.7800422234138,0.00039769249097693836,9527.80023959577,True,3.984355910940684e-10
12 h,12.0,0.2916666666666667,1.9135807687653215,10.0,nonlinear,0.0,73,0.0,9.796408903553248,9.999999999995437,62197.92212713029,0.8611585517459821,947.8500837391746,0.000398934099642186,5996.177435030117,True,264.28496570607246
12 h,12.0,0.2916666666666667,1.9135807687653215,10.0,linear,0.0,73,0.0,9.796408903553248,9.999999999995437,62197.92212713029,0.8611585517459821,955.1076602749093,0.00039772141426788375,9551.076406759934,True,4.3633714985109874e-10
12 h,12.0,0.3333333333333333,2.1869494500175097,10.0,nonlinear,0.0,73,0.0,9.812751693596137,9.999999999994522,65498.96978500834,0.7251494410291955,952.1745386016513,0.0003983142133933465,6978.9654524049,True,187.26173993610314
12 h,12.0,0.3333333333333333,2.1869494500175097,10.0,linear,0.0,73,0.0,9.812751693596137,9.999999999994522,65498.96978500834,0.7251494410291955,956.3445658303219,0.0003977574230819894,9563.445473225805,True,4.020493003333198e-10
